hook,body,cta,platform,schedule_date,scheduled_time,Status,visual_url
"Die 5 Dimensionen des NeuroBusiness-Profils","1. Sozialstil: Introvertiert ↔ Extrovertiert 2. Entscheidungsmodus: Analytisch ↔ Intuitiv 3. Motivationsrichtung: Prävention ↔ Promotion 4. Arbeitsstil: Systematisch ↔ Experimentell 5. Resilienz: Vulnerabel ↔ Resilient — Das ist dein neuropsychologischer Fingerabdruck im Business.","→ Kostenloser Schnelltest: neurobusiness.one",instagram,2026-06-21,18:00,scheduled,
"Stratege + Grübler = das analytischste Business-Profil.","Wenn S und G sich überlappen, entsteht: Tiefes Denken + hohe Qualitätsstandards + Perfektionismus-Tendenz. Stärke: deine Arbeit ist exzellent. Schwäche: du weißt es meistens erst, wenn es zu spät ist.","→ Mixed-Typ Diagnostik: neurobusiness.one",linkedin,2026-06-22,09:00,scheduled,
"Ich war kurz davor, aufzuhören.","Dann habe ich mein eigenes neuropsychologisches Profil gemacht. Nicht als Übung. Als ehrliche Bestandsaufnahme. Was ich entdeckt habe: Ich hatte ein Business-Modell gebaut, das perfekt für einen anderen Typ war. Kein Wunder, dass ich erschöpft war.","→ Dein Profil. Dein Modell: neurobusiness.one",instagram,2026-06-22,18:00,scheduled,
"Visionäre und Connectors: die geborenen Netzwerker.","V+C Mischprofil: Du inspirierst und du verbindest. Du siehst Möglichkeiten und die Menschen, die sie umsetzen können. Das ist die stärkste Vertriebskombination, die ich kenne — wenn du weißt, wie du sie nutzt.","→ Finde dein Mixed-Profil: neurobusiness.one",linkedin,2026-06-23,09:00,scheduled,
"Burnout ist kein Energie-Problem.","Es ist ein Profil-Problem. Wenn du konstant gegen dein neuropsychologisches Muster arbeitest — in der falschen Struktur, mit den falschen Aufgaben, im falschen Tempo — dann erschöpft das auf einer Ebene, die kein Urlaub repariert.","→ Burnout-Risikoprofil verstehen: neurobusiness.one",instagram,2026-06-23,18:00,scheduled,
"Für Coaches: Warum deine Klientinnen nicht wachsen.","Nicht wegen fehlender Motivation. Wegen falschen Business-Modells für ihr Profil. Ein Stratege braucht eine andere Wachstumsstrategie als ein Connector. Ein Visionär braucht andere Strukturen als ein Macher. Wenn du das nicht weißt, coachst du das falsche Problem.","→ NeuroBusiness-Lizenz für Coaches: eva@neurobusiness.one",linkedin,2026-06-24,09:00,scheduled,
"Das Instrument, das Psychologen für Business nutzen.","NeuroBusiness™ — 50-Fragen-Diagnostik auf Basis von Regulatory Focus Theory, Big Five und Maslach Burnout Inventory. Wissenschaftlich fundiert. Sofort einsetzbar. Für Coaches, Berater, HR.","→ Lizenz anfragen: eva@neurobusiness.one",linkedin,2026-06-25,09:00,scheduled,
"Grübler sind nicht langsam. Sie sind zu genau.","Typ G: Du siehst Risiken, die andere übersehen. Du denkst Konsequenzen durch, bevor andere mit dem ersten Schritt beginnen. Das ist ein Superpower — in der richtigen Situation. In der falschen Situation kostet es dich Momentum, das andere nicht zurückgeben können.","→ Grübler-Profil verstehen: neurobusiness.one",instagram,2026-06-25,18:00,scheduled,
"Was der Schnelltest dir in 2 Minuten zeigt:","1. Dein Psychotyp (S/V/M/C/G) 2. Deine grösste Stärke im Business 3. Deinen blinden Fleck 4. Erste Strategie-Hinweise — Kostenlos. Sofort. Ohne Anmeldung.","→ neurobusiness.one",instagram,2026-06-26,18:00,scheduled,
"Macher + Connector: Das Verkaufs-Profil schlechthin.","M+C Mischtyp: Du lieferst Ergebnisse UND baust Beziehungen. Du schließt ab UND schaffst Loyalität. Wenn du weißt, wie du diese Energie kanalisierst, ist Vertrieb kein Aufwand mehr — es ist dein natürlicher Zustand.","→ Vollständige Diagnostik: neurobusiness.one",linkedin,2026-06-27,09:00,scheduled,
"Die häufigste Frage, die ich bekomme:","'Eva, warum hat mein Business nicht funktioniert?' Die häufigste Antwort: Weil du ein Modell gebaut hast, das für jemand anderen funktioniert. Nicht für dich. Das NeuroBusiness-Profil zeigt, welches Modell zu deinem neuropsychologischen Muster passt.","→ neurobusiness.one",instagram,2026-06-27,18:00,scheduled,
"Intuition ist kein Bauchgefühl. Es ist Mustererkennung.","Visionäre und Connectors entscheiden intuitiv — nicht weil sie ungenau sind, sondern weil ihr Gehirn Muster schneller verarbeitet als der rationale Verstand sie formulieren kann. Das ist Neuropsychologie, keine Mystik.","→ Dein Entscheidungsmodus: neurobusiness.one",linkedin,2026-06-28,09:00,scheduled,
"Was wäre, wenn du dein Business so gebaut hättest, wie dein Gehirn wirklich funktioniert?","Nicht das Modell, das auf Instagram glorifiziert wird. Nicht das, was deine Mentorin empfiehlt. Sondern das Modell, das zu deinem neuropsychologischen Profil passt — zu deiner Stärke, deinem Tempo, deiner Art zu kommunizieren.","→ Starte mit dem kostenlosen Schnelltest: neurobusiness.one",instagram,2026-06-28,18:00,scheduled,
"Ich biete gerade 3 kostenlose Discovery-Calls an.","Für Coaches, Berater und Führungskräfte, die das NeuroBusiness-Diagnostik-Tool in ihrer Praxis einsetzen wollen. 20 Minuten. Vollständige Demo. Keine Sales-Pitch.","→ DM mir oder: eva@neurobusiness.one",linkedin,2026-06-29,09:00,scheduled,
"Der Unterschied zwischen einem Persönlichkeitstest und einem Diagnostik-Instrument:","Persönlichkeitstest: beschreibt, wer du bist. Diagnostik-Instrument: zeigt, wie du im Business-Kontext funktionierst — und wo dein grösster Hebel für Veränderung liegt. NeuroBusiness ist ein Diagnostik-Instrument.","→ neurobusiness.one",instagram,2026-06-29,18:00,scheduled,
"Letzte Woche habe ich mit einer Unternehmensberaterin gesprochen.","12 Jahre Erfahrung. Erschöpft. Erfolgreich auf dem Papier, leer im echten Leben. Die Diagnostik zeigte: Sie arbeitete komplett gegen ihr neuropsychologisches Profil. In 90 Tagen hat sie ihr Modell restrukturiert. Heute: 30% mehr Umsatz. 40% weniger Arbeitszeit.","→ Deine Diagnostik: neurobusiness.one/diagnostic",linkedin,2026-06-30,09:00,scheduled,
"Dein neuropsychologisches Profil ändert sich nicht.","Aber dein Umgang damit kann sich radikal verändern. Das ist der Unterschied zwischen 'Ich bin so' und 'Ich verstehe, wie ich bin — und nutze es strategisch.'","→ Vollständige 50-Fragen-Diagnostik für 147€: neurobusiness.one",instagram,2026-06-30,18:00,scheduled,
"Regulatory Focus Theory in 30 Sekunden erklärt:","Promotion-Fokus: Du arbeitest auf Wachstum zu. Energie durch Möglichkeiten. Prevention-Fokus: Du arbeitest weg von Verlust. Energie durch Sicherheit. Keins davon ist besser. Aber dein Marketing, dein Vertrieb, deine Kommunikation sollte zu deinem Fokus passen — nicht gegen ihn.","→ Finde deinen Fokus: neurobusiness.one",linkedin,2026-07-01,09:00,scheduled,
"Für alle, die noch zögern:","Die vollständige NeuroBusiness-Diagnostik kostet 147€. Kein Abo. Keine Falle. Du bekommst: 50 Fragen · Vollständigen Report · 5D-Profil · Burnout-Analyse · Business-Strategie. Einmalig. Sofortzugang. 30–40 Minuten.","→ neurobusiness.one",instagram,2026-07-01,18:00,scheduled,
"Danke für 500 Quiz-Teilnehmer in diesem Monat.","Was ich dabei gelernt habe: Die häufigste Kombination ist S+G (Stratege/Grübler). Das analytischste Profil — und das mit dem stärksten Perfektionismus. Spannend, wer auf ein neuropsychologisches Business-Tool antwortet.","→ Bist du dabei? neurobusiness.one",linkedin,2026-07-02,09:00,scheduled,
